source_field_e1,source_field_e2,source_field_e3,canonical_field_p,canonical_field_q,canonical_field_r,target_degree_p_to_q,target_degree_q_to_r,closing_degree_r_to_p,signed_gap_q_minus_p,signed_gap_r_minus_q,maximum_field_prime,first_appears_above_16bit,family,parameter_x
7,11,13,7,11,13,10,12,2,4,2,13,False,unclassified_residual,
11,17,13,17,13,11,6,10,16,-4,-2,17,False,unclassified_residual,
13,19,17,19,17,13,8,6,18,-2,-4,19,False,unclassified_residual,
17,23,19,23,19,17,9,8,22,-4,-2,23,False,unclassified_residual,
23,31,29,29,23,31,11,10,28,-6,8,31,False,unclassified_residual,
29,31,37,29,31,37,10,4,28,2,6,37,False,unclassified_residual,
29,37,31,29,37,31,12,6,28,8,-6,37,False,unclassified_residual,
31,37,41,31,37,41,4,5,15,6,4,41,False,unclassified_residual,
31,37,43,31,37,43,4,6,30,6,6,43,False,consecutive_mnt_chain,3
31,41,37,37,31,41,6,10,18,-6,10,41,False,unclassified_residual,
31,41,43,31,41,43,10,7,30,10,2,43,False,unclassified_residual,
31,43,37,43,37,31,4,6,21,-6,-6,43,False,consecutive_mnt_chain,3
37,41,47,47,37,41,3,5,46,-10,4,47,False,unclassified_residual,
37,43,47,47,37,43,3,6,46,-10,6,47,False,unclassified_residual,
37,47,43,47,43,37,7,4,23,-4,-6,47,False,unclassified_residual,
89,103,97,103,97,89,12,11,34,-6,-8,103,False,unclassified_residual,
89,107,101,107,101,89,10,8,53,-6,-12,107,False,unclassified_residual,
97,109,113,109,113,97,7,12,27,4,-16,113,False,unclassified_residual,
101,109,107,107,101,109,10,12,106,-6,8,109,False,unclassified_residual,
101,109,113,101,109,113,12,7,100,8,4,113,False,unclassified_residual,
127,137,131,131,127,137,7,8,130,-4,10,137,False,unclassified_residual,
127,137,149,149,127,137,9,8,148,-22,10,149,False,unclassified_residual,
191,197,211,191,197,211,7,6,95,6,14,211,False,unclassified_residual,
197,199,211,199,211,197,7,4,198,12,-14,211,False,unclassified_residual,
233,241,257,233,241,257,8,4,232,8,16,257,False,unclassified_residual,
241,257,271,271,241,257,8,4,270,-30,16,271,False,unclassified_residual,
251,281,271,281,271,251,5,5,280,-10,-20,281,False,unclassified_residual,
431,439,457,439,457,431,12,10,146,18,-26,457,False,unclassified_residual,
569,601,577,569,601,577,10,4,284,32,-24,601,False,unclassified_residual,
991,1019,1033,1019,1033,991,12,11,509,14,-42,1033,False,unclassified_residual,
2663,2729,2711,2663,2729,2711,8,5,1331,66,-18,2729,False,unclassified_residual,
2663,2729,2719,2719,2663,2729,11,8,1359,-56,66,2729,False,unclassified_residual,
2917,2939,2971,2939,2971,2917,11,4,1469,32,-54,2971,False,unclassified_residual,
8011,8101,8191,8011,8101,8191,4,6,445,90,90,8191,False,consecutive_mnt_chain,45
8011,8191,8101,8191,8101,8011,4,6,78,-90,-90,8191,False,consecutive_mnt_chain,45
9391,9403,9521,9403,9521,9391,7,10,4701,118,-130,9521,False,unclassified_residual,
10513,10639,10691,10639,10691,10513,5,8,10638,52,-178,10691,False,unclassified_residual,
482659,483883,483481,483883,483481,482659,5,11,483882,-402,-822,483883,True,unclassified_residual,
920641,921601,922561,920641,921601,922561,4,6,2055,960,960,922561,True,consecutive_mnt_chain,480
920641,922561,921601,922561,921601,920641,4,6,115320,-960,-960,922561,True,consecutive_mnt_chain,480
3894703,3896677,3898651,3894703,3896677,3898651,4,6,556386,1974,1974,3898651,True,consecutive_mnt_chain,987
3894703,3898651,3896677,3898651,3896677,3894703,4,6,1949325,-1974,-1974,3898651,True,consecutive_mnt_chain,987
5902471,5904901,5907331,5902471,5904901,5907331,4,6,1967490,2430,2430,5907331,True,consecutive_mnt_chain,1215
5902471,5907331,5904901,5907331,5904901,5902471,4,6,29835,-2430,-2430,5907331,True,consecutive_mnt_chain,1215
7450171,7452901,7455631,7450171,7452901,7455631,4,6,3725085,2730,2730,7455631,True,consecutive_mnt_chain,1365
