seed,p,source_a,source_b,source_order,degree,kernel_x,kernel_y,target_a,target_b,target_family,target_order
5404,7,3,2,9,3,5,4,0,2,j0,9
5404,7,5,2,9,3,3,4,0,2,j0,9
5404,7,6,2,9,3,6,4,0,2,j0,9
5404,13,1,1,18,3,10,7,7,0,j1728,18
5404,13,1,5,9,3,12,9,0,3,j0,9
5404,13,1,8,9,3,1,7,0,10,j0,9
5404,13,1,12,18,3,3,9,7,0,j1728,18
5404,13,2,3,18,3,3,7,11,0,j1728,18
5404,13,2,10,18,3,10,9,11,0,j1728,18
5404,13,3,1,18,3,12,7,8,0,j1728,18
5404,13,3,5,9,3,4,9,0,3,j0,9
5404,13,3,8,9,3,9,7,0,10,j0,9
5404,13,3,12,18,3,1,9,8,0,j1728,18
5404,13,5,3,18,3,9,7,8,0,j1728,18
5404,13,5,10,18,3,4,9,8,0,j1728,18
5404,13,6,3,18,3,1,7,7,0,j1728,18
5404,13,6,10,18,3,12,9,7,0,j1728,18
5404,13,9,1,18,3,4,7,11,0,j1728,18
5404,13,9,5,9,3,10,9,0,3,j0,9
5404,13,9,8,9,3,3,7,0,10,j0,9
5404,13,9,12,18,3,9,9,11,0,j1728,18
5404,17,1,1,18,3,10,12,0,1,j0,18
5404,17,1,16,18,3,7,14,0,16,j0,18
5404,17,4,8,18,3,3,8,0,8,j0,18
5404,17,4,9,18,3,14,2,0,9,j0,18
5404,17,13,2,18,3,12,4,0,2,j0,18
5404,17,13,15,18,3,5,1,0,15,j0,18
5404,17,16,4,18,3,11,7,0,4,j0,18
5404,17,16,13,18,3,6,6,0,13,j0,18
5404,19,2,1,27,3,8,4,0,17,j0,27
5404,19,2,16,20,5,2,16,6,0,j1728,20
5404,19,3,1,27,3,18,4,0,17,j0,27
5404,19,3,16,20,5,8,1,9,0,j1728,20
5404,19,8,5,20,5,14,7,5,0,j1728,20
5404,19,8,11,27,3,3,9,0,16,j0,27
5404,19,10,7,27,3,15,6,0,5,j0,27
5404,19,10,17,20,5,13,11,11,0,j1728,20
5404,19,12,5,20,5,3,7,17,0,j1728,20
5404,19,12,11,27,3,2,9,0,16,j0,27
5404,19,13,7,27,3,13,6,0,5,j0,27
5404,19,13,17,20,5,8,5,1,0,j1728,20
5404,19,14,1,27,3,12,4,0,17,j0,27
5404,19,14,16,20,5,3,16,4,0,j1728,20
5404,19,15,7,27,3,10,6,0,5,j0,27
5404,19,15,17,20,5,12,5,7,0,j1728,20
5404,19,18,5,20,5,2,7,16,0,j1728,20
5404,19,18,11,27,3,14,9,0,16,j0,27
5404,23,1,2,24,3,3,3,20,0,j1728,24
5404,23,2,3,24,3,8,18,17,0,j1728,24
5404,23,3,4,24,3,2,8,14,0,j1728,24
5404,23,4,16,24,3,6,16,11,0,j1728,24
5404,23,6,6,24,3,13,2,5,0,j1728,24
5404,23,8,1,24,3,16,4,22,0,j1728,24
5404,23,9,8,24,3,9,6,19,0,j1728,24
5404,23,12,9,24,3,4,12,10,0,j1728,24
5404,23,13,18,24,3,18,9,7,0,j1728,24
5404,23,16,13,24,3,12,1,21,0,j1728,24
5404,23,18,12,24,3,1,13,15,0,j1728,24
5404,29,4,11,30,3,15,16,0,9,j0,30
5404,29,4,11,30,5,4,27,0,26,j0,30
5404,29,4,18,30,3,14,18,0,20,j0,30
5404,29,4,18,30,5,13,18,0,3,j0,30
5404,29,5,14,30,3,10,7,0,22,j0,30
5404,29,5,14,30,5,1,7,0,12,j0,30
5404,29,5,15,30,3,19,26,0,7,j0,30
5404,29,5,15,30,5,7,25,0,17,j0,30
5404,29,6,8,30,3,2,12,0,25,j0,30
5404,29,6,8,30,5,6,12,0,11,j0,30
5404,29,6,21,30,3,27,1,0,4,j0,30
5404,29,6,21,30,5,13,18,0,18,j0,30
5404,29,8,11,30,5,4,7,0,22,j0,30
5404,29,8,18,30,5,21,15,0,7,j0,30
5404,29,9,10,30,3,21,8,0,24,j0,30
5404,29,9,10,30,5,5,8,0,21,j0,30
5404,29,9,19,30,3,8,20,0,5,j0,30
5404,29,9,19,30,5,6,12,0,8,j0,30
5404,29,10,14,30,5,15,1,0,28,j0,30
5404,29,10,15,30,5,7,15,0,1,j0,30
5404,29,12,8,30,5,3,10,0,16,j0,30
5404,29,12,21,30,5,13,24,0,13,j0,30
5404,29,13,12,30,3,17,10,0,23,j0,30
5404,29,13,12,30,5,20,23,0,2,j0,30
5404,29,13,17,30,3,12,25,0,6,j0,30
5404,29,13,17,30,5,7,25,0,27,j0,30
5404,29,15,3,30,5,27,20,0,6,j0,30
5404,29,15,26,30,5,1,10,0,23,j0,30
5404,29,18,10,30,5,17,26,0,20,j0,30
5404,29,18,19,30,5,6,16,0,9,j0,30
5404,29,22,3,30,3,18,24,0,13,j0,30
5404,29,22,3,30,5,25,24,0,15,j0,30
5404,29,22,26,30,3,11,27,0,16,j0,30
5404,29,22,26,30,5,1,7,0,14,j0,30
5404,29,26,12,30,5,11,18,0,24,j0,30
5404,29,26,17,30,5,9,20,0,5,j0,30
5404,29,27,2,30,5,5,1,0,4,j0,30
5404,29,27,27,30,5,19,27,0,25,j0,30
5404,29,28,2,30,3,26,23,0,28,j0,30
5404,29,28,2,30,5,5,8,0,10,j0,30
5404,29,28,27,30,3,3,15,0,1,j0,30
